"cell_id","decslat_cell_ctr","decslon_cell_ctr","year","taxa_grp","pop_mean_no_m3","pop_var_no_m3","n_obs"
2,24.7406314874,-83.6116640116,2012,"Aurelia_spp",0,0,3
2,24.7406314874,-83.6116640116,2013,"Aurelia_spp",0,0,3
2,24.7406314874,-83.6116640116,2014,"Aurelia_spp",69.1705473008552,1796.4725895786,5
2,24.7406314874,-83.6116640116,2015,"Aurelia_spp",0,0,5
2,24.7406314874,-83.6116640116,2016,"Aurelia_spp",17.0590652713759,291.011707933064,4
2,24.7406314874,-83.6116640116,2017,"Aurelia_spp",0,0,4
3,24.7361794432,-83.1130000001,2012,"Aurelia_spp",0,0,6
3,24.7361794432,-83.1130000001,2013,"Aurelia_spp",56.5910507584422,3202.54702594458,5
3,24.7361794432,-83.1130000001,2014,"Aurelia_spp",10.1417653688964,45.3287869977968,9
3,24.7361794432,-83.1130000001,2015,"Aurelia_spp",9.70686976988719,94.2233207295497,7
3,24.7361794432,-83.1130000001,2016,"Aurelia_spp",0,0,3
3,24.7361794432,-83.1130000001,2017,"Aurelia_spp",81.5832070190982,6655.81966752103,6
4,24.7361794426,-82.613,2012,"Aurelia_spp",0,0,1
4,24.7361794426,-82.613,2013,"Aurelia_spp",17.6650755003461,312.054892432928,2
4,24.7361794426,-82.613,2014,"Aurelia_spp",0,0,4
4,24.7361794426,-82.613,2015,"Aurelia_spp",290.846635575449,45440.34478925,2
4,24.7361794426,-82.613,2016,"Aurelia_spp",6.3860002851508,40.7809996419461,5
4,24.7361794426,-82.613,2017,"Aurelia_spp",83.7720753988767,5584.58251843039,7
5,24.736055944,-82.1129998234,2012,"Aurelia_spp",0,0,1
5,24.736055944,-82.1129998234,2013,"Aurelia_spp",24.0245026804707,577.176729043945,3
5,24.736055944,-82.1129998234,2014,"Aurelia_spp",55.2475244638736,658.872934405393,6
5,24.736055944,-82.1129998234,2015,"Aurelia_spp",137.840584129201,19000.0266330792,5
5,24.736055944,-82.1129998234,2016,"Aurelia_spp",0.205087218004018,0.0420607669886277,4
5,24.736055944,-82.1129998234,2017,"Aurelia_spp",0,0,1
6,24.7361794426,-81.6129999993,2015,"Aurelia_spp",0,0,1
8,25.2361723484,-83.6129999998,2012,"Aurelia_spp",0,0,6
8,25.2361723484,-83.6129999998,2013,"Aurelia_spp",0,0,6
8,25.2361723484,-83.6129999998,2014,"Aurelia_spp",53.8302890100411,1034.65302298499,9
8,25.2361723484,-83.6129999998,2015,"Aurelia_spp",0,0,4
8,25.2361723484,-83.6129999998,2016,"Aurelia_spp",0,0,3
8,25.2361723484,-83.6129999998,2017,"Aurelia_spp",0,0,11
9,25.2361723485,-83.1130000002,2012,"Aurelia_spp",0,0,3
9,25.2361723485,-83.1130000002,2013,"Aurelia_spp",102.776035392625,2271.55258282789,6
9,25.2361723485,-83.1130000002,2014,"Aurelia_spp",17.7959279114598,316.695050229874,3
9,25.2361723485,-83.1130000002,2015,"Aurelia_spp",38.0378871764769,525.740357498931,10
9,25.2361723485,-83.1130000002,2016,"Aurelia_spp",0,0,3
9,25.2361723485,-83.1130000002,2017,"Aurelia_spp",16.9172539708315,286.193481913614,8
10,25.2361723488,-82.613,2012,"Aurelia_spp",0,0,6
10,25.2361723488,-82.613,2013,"Aurelia_spp",16.3976764327023,268.8837923916,7
10,25.2361723488,-82.613,2014,"Aurelia_spp",7.34082026347716,53.8876421406769,5
10,25.2361723488,-82.613,2015,"Aurelia_spp",22.3858928096859,204.447432516278,6
10,25.2361723488,-82.613,2016,"Aurelia_spp",0,0,6
10,25.2361723488,-82.613,2017,"Aurelia_spp",5.51211533361449,30.3834154510679,7
11,25.2361106809,-82.1129908285,2012,"Aurelia_spp",4.35011571169017,18.9235067050937,7
11,25.2361106809,-82.1129908285,2013,"Aurelia_spp",902.675187808582,743884.872873546,6
11,25.2361106809,-82.1129908285,2014,"Aurelia_spp",1844.6190475032,1747957.37714285,5
11,25.2361106809,-82.1129908285,2015,"Aurelia_spp",521.706386485394,123627.971285272,7
11,25.2361106809,-82.1129908285,2016,"Aurelia_spp",0,0,3
11,25.2361106809,-82.1129908285,2017,"Aurelia_spp",0,0,3
12,25.2361723489,-81.6129999996,2012,"Aurelia_spp",0,0,4
12,25.2361723489,-81.6129999996,2013,"Aurelia_spp",0,0,2
12,25.2361723489,-81.6129999996,2014,"Aurelia_spp",4.87952862088413,23.8097995620274,3
12,25.2361723489,-81.6129999996,2016,"Aurelia_spp",0,0,1
12,25.2361723489,-81.6129999996,2017,"Aurelia_spp",0,0,1
14,25.7361652288,-83.6129999998,2012,"Aurelia_spp",0,0,4
14,25.7361652288,-83.6129999998,2013,"Aurelia_spp",0,0,3
14,25.7361652288,-83.6129999998,2014,"Aurelia_spp",32.3148152444868,318.457226351728,11
14,25.7361652288,-83.6129999998,2015,"Aurelia_spp",0,0,9
14,25.7361652288,-83.6129999998,2016,"Aurelia_spp",0,0,7
14,25.7361652288,-83.6129999998,2017,"Aurelia_spp",0,0,4
15,25.7361652292,-83.1129999998,2012,"Aurelia_spp",0,0,1
15,25.7361652292,-83.1129999998,2013,"Aurelia_spp",15.7867102440369,249.22022032918,3
15,25.7361652292,-83.1129999998,2014,"Aurelia_spp",197.278710004563,16373.2530836614,7
15,25.7361652292,-83.1129999998,2015,"Aurelia_spp",0,0,7
15,25.7361652292,-83.1129999998,2016,"Aurelia_spp",0,0,7
15,25.7361652292,-83.1129999998,2017,"Aurelia_spp",0,0,8
16,25.7361652292,-82.6130000002,2012,"Aurelia_spp",274.53184791412,75367.7355191415,5
16,25.7361652292,-82.6130000002,2013,"Aurelia_spp",7.4520448129238,55.5329718938245,4
16,25.7361652292,-82.6130000002,2014,"Aurelia_spp",4.30546643019189,18.5370411815093,7
16,25.7361652292,-82.6130000002,2015,"Aurelia_spp",0,0,6
16,25.7361652292,-82.6130000002,2016,"Aurelia_spp",0,0,4
16,25.7361652292,-82.6130000002,2017,"Aurelia_spp",0,0,2
17,25.7361652295,-82.1130000003,2012,"Aurelia_spp",0,0,4
17,25.7361652295,-82.1130000003,2013,"Aurelia_spp",3962.7513023486,15703397.8842655,3
17,25.7361652295,-82.1130000003,2014,"Aurelia_spp",542.008140647634,53382.807765844,11
17,25.7361652295,-82.1130000003,2015,"Aurelia_spp",531.478338551855,145831.010637846,7
17,25.7361652295,-82.1130000003,2016,"Aurelia_spp",0,0,1
17,25.7361652295,-82.1130000003,2017,"Aurelia_spp",0,0,3
18,25.6883469798,-81.6391912278,2012,"Aurelia_spp",0,0,2
18,25.6883469798,-81.6391912278,2014,"Aurelia_spp",102.61361658624,10529.5543089078,6
18,25.6883469798,-81.6391912278,2015,"Aurelia_spp",75.321919147309,2128.39152496329,5
18,25.6883469798,-81.6391912278,2017,"Aurelia_spp",0,0,1
19,26.2537869505,-97.0249634402,2012,"Aurelia_spp",0,0,39
19,26.2537869505,-97.0249634402,2013,"Aurelia_spp",5.65991041643677,20.8421913032289,31
19,26.2537869505,-97.0249634402,2014,"Aurelia_spp",1.71720619670968,2.16948912386267,36
19,26.2537869505,-97.0249634402,2015,"Aurelia_spp",15.0629818393427,226.893421892369,5
19,26.2537869505,-97.0249634402,2016,"Aurelia_spp",0,0,6
19,26.2537869505,-97.0249634402,2017,"Aurelia_spp",29.2134683954704,853.426735693149,7
20,26.2427027375,-96.6816757159,2012,"Aurelia_spp",0,0,7
20,26.2427027375,-96.6816757159,2013,"Aurelia_spp",39.74423900226,1579.60453386877,3
20,26.2427027375,-96.6816757159,2014,"Aurelia_spp",0,0,9
20,26.2427027375,-96.6816757159,2015,"Aurelia_spp",10.7022733134195,114.538654075132,8
20,26.2427027375,-96.6816757159,2016,"Aurelia_spp",0,0,3
20,26.2427027375,-96.6816757159,2017,"Aurelia_spp",71.4974153147575,1638.33557728226,8
21,26.2360424351,-83.9323141495,2013,"Aurelia_spp",0,0,1
21,26.2360424351,-83.9323141495,2014,"Aurelia_spp",105.855088438856,11205.299748398,1
21,26.2360424351,-83.9323141495,2015,"Aurelia_spp",0,0,1
22,26.2361580821,-83.6130000003,2012,"Aurelia_spp",0,0,5
22,26.2361580821,-83.6130000003,2013,"Aurelia_spp",0,0,6
22,26.2361580821,-83.6130000003,2014,"Aurelia_spp",48.3638008206651,288.112138630165,8
22,26.2361580821,-83.6130000003,2015,"Aurelia_spp",63.1642790033282,1256.783895887,6
22,26.2361580821,-83.6130000003,2016,"Aurelia_spp",0,0,4
22,26.2361580821,-83.6130000003,2017,"Aurelia_spp",6.08297172246262,37.0025449762799,10
23,26.2361580824,-83.1130000002,2012,"Aurelia_spp",0,0,4
23,26.2361580824,-83.1130000002,2013,"Aurelia_spp",21.7755759950689,225.75003585602,6
23,26.2361580824,-83.1130000002,2014,"Aurelia_spp",75.6969143135561,1532.10081024528,10
23,26.2361580824,-83.1130000002,2015,"Aurelia_spp",0,0,12
23,26.2361580824,-83.1130000002,2016,"Aurelia_spp",0,0,8
23,26.2361580824,-83.1130000002,2017,"Aurelia_spp",0,0,6
24,26.2361580823,-82.6129999996,2012,"Aurelia_spp",0,0,4
24,26.2361580823,-82.6129999996,2013,"Aurelia_spp",0,0,4
24,26.2361580823,-82.6129999996,2014,"Aurelia_spp",4318.1851019683,10335357.6077463,8
24,26.2361580823,-82.6129999996,2015,"Aurelia_spp",5114.35053442926,21359757.7807388,10
24,26.2361580823,-82.6129999996,2016,"Aurelia_spp",0,0,8
24,26.2361580823,-82.6129999996,2017,"Aurelia_spp",356.641837052335,78613.19144667,5
25,26.2214451413,-82.1202985108,2012,"Aurelia_spp",0,0,3
25,26.2214451413,-82.1202985108,2013,"Aurelia_spp",1.60335569860346,1.14868656101843,10
25,26.2214451413,-82.1202985108,2014,"Aurelia_spp",121.232509542915,5870.8759707693,7
25,26.2214451413,-82.1202985108,2015,"Aurelia_spp",382.555043877317,146348.361595976,3
25,26.2214451413,-82.1202985108,2016,"Aurelia_spp",26.4269529485178,698.383842143171,2
25,26.2214451413,-82.1202985108,2017,"Aurelia_spp",0,0,2
27,26.7480575961,-97.0927775208,2012,"Aurelia_spp",0,0,4
27,26.7480575961,-97.0927775208,2013,"Aurelia_spp",2800.10640732255,3457418.2846009,7
27,26.7480575961,-97.0927775208,2014,"Aurelia_spp",18.3232146643919,335.740195637386,3
27,26.7480575961,-97.0927775208,2015,"Aurelia_spp",0,0,7
27,26.7480575961,-97.0927775208,2016,"Aurelia_spp",52.465031916748,2752.57957402539,3
27,26.7480575961,-97.0927775208,2017,"Aurelia_spp",92.4893920065036,3422.13877974084,6
28,26.7359779827,-96.6817140219,2012,"Aurelia_spp",18.9427765990872,358.828785282926,10
28,26.7359779827,-96.6817140219,2013,"Aurelia_spp",27.5973774380792,761.615241459803,5
28,26.7359779827,-96.6817140219,2014,"Aurelia_spp",0,0,4
28,26.7359779827,-96.6817140219,2015,"Aurelia_spp",0,0,3
28,26.7359779827,-96.6817140219,2016,"Aurelia_spp",0,0,5
28,26.7359779827,-96.6817140219,2017,"Aurelia_spp",0,0,4
29,26.736037192,-83.932585241,2012,"Aurelia_spp",0,0,1
29,26.736037192,-83.932585241,2014,"Aurelia_spp",0,0,1
29,26.736037192,-83.932585241,2015,"Aurelia_spp",0,0,2
29,26.736037192,-83.932585241,2017,"Aurelia_spp",0,0,1
30,26.7361509076,-83.6129999997,2012,"Aurelia_spp",0,0,6
30,26.7361509076,-83.6129999997,2013,"Aurelia_spp",17.8418528867151,318.331714431185,5
30,26.7361509076,-83.6129999997,2014,"Aurelia_spp",0,0,2
30,26.7361509076,-83.6129999997,2015,"Aurelia_spp",36.9126473475983,1362.54353420815,4
30,26.7361509076,-83.6129999997,2016,"Aurelia_spp",0,0,5
30,26.7361509076,-83.6129999997,2017,"Aurelia_spp",73.2503355323313,4282.03783857605,10
31,26.7361509078,-83.1129999999,2012,"Aurelia_spp",0,0,7
31,26.7361509078,-83.1129999999,2013,"Aurelia_spp",6.73279272650228,45.330497898042,6
31,26.7361509078,-83.1129999999,2014,"Aurelia_spp",115.926314491413,5438.76156586864,6
31,26.7361509078,-83.1129999999,2015,"Aurelia_spp",0,0,8
31,26.7361509078,-83.1129999999,2016,"Aurelia_spp",10.6775567468759,114.010218082755,9
31,26.7361509078,-83.1129999999,2017,"Aurelia_spp",0,0,6
32,26.735176418,-82.613976949,2012,"Aurelia_spp",0,0,4
32,26.735176418,-82.613976949,2013,"Aurelia_spp",30.5171460572001,376.00356376978,5
32,26.735176418,-82.613976949,2014,"Aurelia_spp",578.737710314533,187897.054056624,7
32,26.735176418,-82.613976949,2015,"Aurelia_spp",2475.05535297009,5531384.06012295,8
32,26.735176418,-82.613976949,2016,"Aurelia_spp",0,0,4
32,26.735176418,-82.613976949,2017,"Aurelia_spp",53.15050469556,1420.59194914836,6
33,26.6505088581,-82.2999143091,2012,"Aurelia_spp",0,0,1
33,26.6505088581,-82.2999143091,2014,"Aurelia_spp",0,0,2
33,26.6505088581,-82.2999143091,2015,"Aurelia_spp",16.3607724347291,267.674874660992,1
33,26.6505088581,-82.2999143091,2017,"Aurelia_spp",53.7214573827192,2885.99498332332,1
34,27.2283636653,-97.1026185211,2012,"Aurelia_spp",5.4623612061564,29.8373899465224,8
34,27.2283636653,-97.1026185211,2013,"Aurelia_spp",764.038504998674,583754.837120609,1
34,27.2283636653,-97.1026185211,2014,"Aurelia_spp",3.0813319624472,9.49460666279871,6
34,27.2283636653,-97.1026185211,2015,"Aurelia_spp",0,0,8
34,27.2283636653,-97.1026185211,2016,"Aurelia_spp",0,0,9
34,27.2283636653,-97.1026185211,2017,"Aurelia_spp",17.7959279114599,316.695050229876,7
35,27.2362022653,-96.6813394491,2012,"Aurelia_spp",0,0,4
35,27.2362022653,-96.6813394491,2013,"Aurelia_spp",107.543480998052,2766.80119981125,7
35,27.2362022653,-96.6813394491,2014,"Aurelia_spp",0,0,6
35,27.2362022653,-96.6813394491,2015,"Aurelia_spp",0,0,5
35,27.2362022653,-96.6813394491,2016,"Aurelia_spp",0,0,1
35,27.2362022653,-96.6813394491,2017,"Aurelia_spp",30.9277582329381,455.678227624606,9
37,27.2411335095,-84.1115683659,2012,"Aurelia_spp",0,0,1
37,27.2411335095,-84.1115683659,2013,"Aurelia_spp",0,0,4
37,27.2411335095,-84.1115683659,2014,"Aurelia_spp",30.0664932898911,143.774921017773,9
37,27.2411335095,-84.1115683659,2015,"Aurelia_spp",17.1424836834609,293.864746837723,10
37,27.2411335095,-84.1115683659,2016,"Aurelia_spp",0,0,4
37,27.2411335095,-84.1115683659,2017,"Aurelia_spp",0,0,6
38,27.236143702,-83.6130000002,2012,"Aurelia_spp",0,0,7
38,27.236143702,-83.6130000002,2013,"Aurelia_spp",9.15934164692946,83.8935394051765,5
38,27.236143702,-83.6130000002,2014,"Aurelia_spp",0,0,5
38,27.236143702,-83.6130000002,2015,"Aurelia_spp",48.6162505631192,1564.21573857124,5
38,27.236143702,-83.6130000002,2016,"Aurelia_spp",0,0,6
38,27.236143702,-83.6130000002,2017,"Aurelia_spp",0,0,6
39,27.2361437017,-83.1130000001,2012,"Aurelia_spp",0,0,6
39,27.2361437017,-83.1130000001,2013,"Aurelia_spp",0,0,5
39,27.2361437017,-83.1130000001,2014,"Aurelia_spp",275.16331925829,46533.1210957063,7
39,27.2361437017,-83.1130000001,2015,"Aurelia_spp",82.9509363509377,3064.51041332077,8
39,27.2361437017,-83.1130000001,2016,"Aurelia_spp",25.0566664993354,627.836536058919,3
39,27.2361437017,-83.1130000001,2017,"Aurelia_spp",12.1127122236065,146.717797411907,6
40,27.1960875829,-82.6901678044,2012,"Aurelia_spp",0,0,4
40,27.1960875829,-82.6901678044,2013,"Aurelia_spp",38.2565778833646,19.4509834063454,4
40,27.1960875829,-82.6901678044,2014,"Aurelia_spp",0,0,3
40,27.1960875829,-82.6901678044,2015,"Aurelia_spp",2249.40528800851,5059824.14972065,1
40,27.1960875829,-82.6901678044,2016,"Aurelia_spp",0,0,2
40,27.1960875829,-82.6901678044,2017,"Aurelia_spp",2274.69070529459,3871271.17295611,6
41,27.6818312635,-97.0081923836,2012,"Aurelia_spp",2.85671474368171,8.16081912676846,38
41,27.6818312635,-97.0081923836,2013,"Aurelia_spp",104.162612790767,6598.50532741231,33
41,27.6818312635,-97.0081923836,2014,"Aurelia_spp",0.0536457774842551,0.00240752171008319,34
41,27.6818312635,-97.0081923836,2015,"Aurelia_spp",30.9546476844527,958.190213268593,2
41,27.6818312635,-97.0081923836,2016,"Aurelia_spp",0,0,4
41,27.6818312635,-97.0081923836,2017,"Aurelia_spp",22.6326068902529,275.256512776714,5
42,27.7378521635,-96.6143229338,2012,"Aurelia_spp",4.40785693437208,19.429202753892,17
42,27.7378521635,-96.6143229338,2013,"Aurelia_spp",897.691291115635,626689.493527298,10
42,27.7378521635,-96.6143229338,2014,"Aurelia_spp",0,0,15
42,27.7378521635,-96.6143229338,2015,"Aurelia_spp",2.29978145317328,5.2889947323598,10
42,27.7378521635,-96.6143229338,2016,"Aurelia_spp",37.0155300558364,1370.14946531453,5
42,27.7378521635,-96.6143229338,2017,"Aurelia_spp",4.3186903627989,18.6510864497321,10
43,27.7428637675,-96.1130192664,2012,"Aurelia_spp",0,0,5
43,27.7428637675,-96.1130192664,2013,"Aurelia_spp",0,0,8
43,27.7428637675,-96.1130192664,2014,"Aurelia_spp",0,0,4
43,27.7428637675,-96.1130192664,2015,"Aurelia_spp",0,0,9
43,27.7428637675,-96.1130192664,2016,"Aurelia_spp",0,0,7
43,27.7428637675,-96.1130192664,2017,"Aurelia_spp",7458.67780250388,29604807.3999709,6
44,27.742662238,-95.6813510462,2012,"Aurelia_spp",0,0,1
44,27.742662238,-95.6813510462,2013,"Aurelia_spp",0,0,3
44,27.742662238,-95.6813510462,2014,"Aurelia_spp",0,0,1
44,27.742662238,-95.6813510462,2015,"Aurelia_spp",0,0,2
44,27.742662238,-95.6813510462,2016,"Aurelia_spp",0,0,2
44,27.742662238,-95.6813510462,2017,"Aurelia_spp",0,0,2
46,27.7413571684,-84.6115005469,2013,"Aurelia_spp",0,0,1
46,27.7413571684,-84.6115005469,2014,"Aurelia_spp",0,0,2
46,27.7413571684,-84.6115005469,2015,"Aurelia_spp",0,0,1
46,27.7413571684,-84.6115005469,2016,"Aurelia_spp",0,0,2
46,27.7413571684,-84.6115005469,2017,"Aurelia_spp",0,0,1
47,27.736136465,-84.1130000004,2012,"Aurelia_spp",0,0,4
47,27.736136465,-84.1130000004,2013,"Aurelia_spp",0,0,9
47,27.736136465,-84.1130000004,2014,"Aurelia_spp",30.0306283505884,901.838639131165,7
47,27.736136465,-84.1130000004,2015,"Aurelia_spp",17.3725570458243,301.805738310418,8
47,27.736136465,-84.1130000004,2016,"Aurelia_spp",7.1776909242888,51.5192470046178,9
47,27.736136465,-84.1130000004,2017,"Aurelia_spp",0,0,7
48,27.7361364648,-83.6129999997,2012,"Aurelia_spp",0,0,9
48,27.7361364648,-83.6129999997,2013,"Aurelia_spp",12.9163992905757,166.833370633584,3
48,27.7361364648,-83.6129999997,2014,"Aurelia_spp",14.0645236719601,197.810826119126,6
48,27.7361364648,-83.6129999997,2015,"Aurelia_spp",173.009786664223,29932.3862815999,10
48,27.7361364648,-83.6129999997,2016,"Aurelia_spp",24.6633308619077,286.375299094536,9
48,27.7361364648,-83.6129999997,2017,"Aurelia_spp",0,0,7
49,27.7361364644,-83.1129999994,2012,"Aurelia_spp",0,0,5
49,27.7361364644,-83.1129999994,2013,"Aurelia_spp",0,0,3
49,27.7361364644,-83.1129999994,2014,"Aurelia_spp",189.166488313566,25435.6958004895,9
49,27.7361364644,-83.1129999994,2015,"Aurelia_spp",5458.91694375931,24131311.7103302,3
